Wavelength (nm)	Cross section (cm2)
2.1009e+02	2.1259e-18
2.1021e+02	2.1205e-18
2.1032e+02	2.1156e-18
2.1044e+02	2.1102e-18
2.1056e+02	2.1048e-18
2.1068e+02	2.0994e-18
2.1079e+02	2.0945e-18
2.1091e+02	2.0891e-18
2.1103e+02	2.0836e-18
2.1114e+02	2.0787e-18
2.1126e+02	2.0733e-18
2.1138e+02	2.0679e-18
2.1149e+02	2.0629e-18
2.1161e+02	2.0575e-18
2.1173e+02	2.0522e-18
2.1185e+02	2.0468e-18
2.1196e+02	2.0418e-18
2.1208e+02	2.0356e-18
2.1220e+02	2.0290e-18
2.1231e+02	2.0229e-18
2.1243e+02	2.0163e-18
2.1255e+02	2.0097e-18
2.1266e+02	2.0037e-18
2.1278e+02	1.9971e-18
2.1290e+02	1.9905e-18
2.1302e+02	1.9839e-18
2.1313e+02	1.9779e-18
2.1325e+02	1.9713e-18
2.1337e+02	1.9646e-18
2.1348e+02	1.9586e-18
2.1360e+02	1.9520e-18
2.1372e+02	1.9454e-18
2.1383e+02	1.9393e-18
2.1395e+02	1.9328e-18
2.1407e+02	1.9251e-18
2.1418e+02	1.9174e-18
2.1430e+02	1.9090e-18
2.1442e+02	1.9006e-18
2.1453e+02	1.8929e-18
2.1465e+02	1.8845e-18
2.1477e+02	1.8761e-18
2.1488e+02	1.8684e-18
2.1500e+02	1.8600e-18
2.1512e+02	1.8516e-18
2.1524e+02	1.8432e-18
2.1535e+02	1.8355e-18
2.1547e+02	1.8271e-18
2.1559e+02	1.8187e-18
2.1570e+02	1.8110e-18
2.1582e+02	1.8026e-18
2.1594e+02	1.7942e-18
2.1605e+02	1.7862e-18
2.1617e+02	1.7773e-18
2.1629e+02	1.7683e-18
2.1640e+02	1.7600e-18
2.1652e+02	1.7510e-18
2.1664e+02	1.7420e-18
2.1675e+02	1.7338e-18
2.1687e+02	1.7247e-18
2.1699e+02	1.7157e-18
2.1710e+02	1.7075e-18
2.1722e+02	1.6985e-18
2.1734e+02	1.6895e-18
2.1745e+02	1.6813e-18
2.1757e+02	1.6723e-18
2.1769e+02	1.6633e-18
2.1780e+02	1.6550e-18
2.1792e+02	1.6460e-18
2.1803e+02	1.6379e-18
2.1815e+02	1.6295e-18
2.1827e+02	1.6211e-18
2.1838e+02	1.6134e-18
2.1850e+02	1.6050e-18
2.1862e+02	1.5966e-18
2.1873e+02	1.5889e-18
2.1885e+02	1.5805e-18
2.1897e+02	1.5721e-18
2.1908e+02	1.5644e-18
2.1920e+02	1.5560e-18
2.1932e+02	1.5476e-18
2.1943e+02	1.5399e-18
2.1955e+02	1.5315e-18
2.1967e+02	1.5231e-18
2.1978e+02	1.5154e-18
2.1990e+02	1.5070e-18
2.2002e+02	1.4985e-18
2.2013e+02	1.4903e-18
2.2025e+02	1.4812e-18
2.2036e+02	1.4730e-18
2.2048e+02	1.4640e-18
2.2060e+02	1.4550e-18
2.2071e+02	1.4467e-18
2.2083e+02	1.4377e-18
2.2095e+02	1.4288e-18
2.2106e+02	1.4205e-18
2.2118e+02	1.4115e-18
2.2130e+02	1.4025e-18
2.2141e+02	1.3943e-18
2.2153e+02	1.3852e-18
2.2164e+02	1.3770e-18
2.2176e+02	1.3680e-18
2.2188e+02	1.3590e-18
2.2199e+02	1.3507e-18
2.2211e+02	1.3423e-18
2.2223e+02	1.3339e-18
2.2234e+02	1.3262e-18
2.2246e+02	1.3178e-18
2.2257e+02	1.3101e-18
2.2269e+02	1.3017e-18
2.2281e+02	1.2933e-18
2.2292e+02	1.2856e-18
2.2304e+02	1.2772e-18
2.2316e+02	1.2688e-18
2.2327e+02	1.2611e-18
2.2339e+02	1.2527e-18
2.2350e+02	1.2450e-18
2.2362e+02	1.2366e-18
2.2374e+02	1.2282e-18
2.2385e+02	1.2205e-18
2.2397e+02	1.2121e-18
2.2408e+02	1.2048e-18
2.2420e+02	1.1970e-18
2.2432e+02	1.1892e-18
2.2443e+02	1.1820e-18
2.2455e+02	1.1742e-18
2.2466e+02	1.1671e-18
2.2478e+02	1.1593e-18
2.2490e+02	1.1515e-18
2.2501e+02	1.1444e-18
2.2513e+02	1.1366e-18
2.2525e+02	1.1288e-18
2.2536e+02	1.1216e-18
2.2548e+02	1.1138e-18
2.2559e+02	1.1066e-18
2.2571e+02	1.0988e-18
2.2583e+02	1.0910e-18
2.2594e+02	1.0839e-18
2.2606e+02	1.0759e-18
2.2617e+02	1.0685e-18
2.2629e+02	1.0604e-18
2.2641e+02	1.0523e-18
2.2652e+02	1.0449e-18
2.2664e+02	1.0368e-18
2.2675e+02	1.0294e-18
2.2687e+02	1.0213e-18
2.2698e+02	1.0139e-18
2.2710e+02	1.0058e-18
2.2722e+02	9.9765e-19
2.2733e+02	9.9022e-19
2.2745e+02	9.8213e-19
2.2756e+02	9.7470e-19
2.2768e+02	9.6660e-19
2.2780e+02	9.5850e-19
2.2791e+02	9.5108e-19
2.2803e+02	9.4350e-19
2.2814e+02	9.3800e-19
2.2826e+02	9.3200e-19
2.2838e+02	9.2600e-19
2.2849e+02	9.2050e-19
2.2861e+02	9.1450e-19
2.2872e+02	9.0900e-19
2.2884e+02	9.0300e-19
2.2895e+02	8.9750e-19
2.2907e+02	8.9150e-19
2.2919e+02	8.8550e-19
2.2930e+02	8.8000e-19
2.2942e+02	8.7400e-19
2.2953e+02	8.6850e-19
2.2965e+02	8.6250e-19
