Wavelength (nm)	Cross section (cm2)
2.1009e+02	4.4212e-18
2.1021e+02	4.3828e-18
2.1032e+02	4.3476e-18
2.1044e+02	4.3092e-18
2.1056e+02	4.2708e-18
2.1068e+02	4.2324e-18
2.1079e+02	4.1972e-18
2.1091e+02	4.1588e-18
2.1103e+02	4.1204e-18
2.1114e+02	4.0852e-18
2.1126e+02	4.0468e-18
2.1138e+02	4.0084e-18
2.1149e+02	3.9732e-18
2.1161e+02	3.9348e-18
2.1173e+02	3.8964e-18
2.1185e+02	3.8580e-18
2.1196e+02	3.8228e-18
2.1208e+02	3.7864e-18
2.1220e+02	3.7510e-18
2.1231e+02	3.7185e-18
2.1243e+02	3.6831e-18
2.1255e+02	3.6477e-18
2.1266e+02	3.6153e-18
2.1278e+02	3.5799e-18
2.1290e+02	3.5445e-18
2.1302e+02	3.5091e-18
2.1313e+02	3.4767e-18
2.1325e+02	3.4412e-18
2.1337e+02	3.4058e-18
2.1348e+02	3.3734e-18
2.1360e+02	3.3380e-18
2.1372e+02	3.3026e-18
2.1383e+02	3.2701e-18
2.1395e+02	3.2348e-18
2.1407e+02	3.2008e-18
2.1418e+02	3.1705e-18
2.1430e+02	3.1375e-18
2.1442e+02	3.1045e-18
2.1453e+02	3.0742e-18
2.1465e+02	3.0412e-18
2.1477e+02	3.0082e-18
2.1488e+02	2.9780e-18
2.1500e+02	2.9450e-18
2.1512e+02	2.9120e-18
2.1524e+02	2.8790e-18
2.1535e+02	2.8488e-18
2.1547e+02	2.8158e-18
2.1559e+02	2.7827e-18
2.1570e+02	2.7525e-18
2.1582e+02	2.7195e-18
2.1594e+02	2.6865e-18
2.1605e+02	2.6582e-18
2.1617e+02	2.6301e-18
2.1629e+02	2.6019e-18
2.1640e+02	2.5760e-18
2.1652e+02	2.5478e-18
2.1664e+02	2.5196e-18
2.1675e+02	2.4937e-18
2.1687e+02	2.4655e-18
2.1699e+02	2.4373e-18
2.1710e+02	2.4115e-18
2.1722e+02	2.3833e-18
2.1734e+02	2.3551e-18
2.1745e+02	2.3293e-18
