Wavelength (nm)	Cross section (cm2)
2.1009e+02	0.0000e+00
2.1021e+02	0.0000e+00
2.1032e+02	0.0000e+00
2.1044e+02	0.0000e+00
2.1056e+02	0.0000e+00
2.1068e+02	0.0000e+00
2.1079e+02	0.0000e+00
2.1091e+02	0.0000e+00
2.1103e+02	0.0000e+00
2.1114e+02	0.0000e+00
2.1126e+02	0.0000e+00
2.1138e+02	0.0000e+00
2.1149e+02	0.0000e+00
2.1161e+02	0.0000e+00
2.1173e+02	0.0000e+00
2.1185e+02	0.0000e+00
2.1196e+02	0.0000e+00
2.1208e+02	0.0000e+00
2.1220e+02	0.0000e+00
2.1231e+02	0.0000e+00
2.1243e+02	0.0000e+00
2.1255e+02	0.0000e+00
2.1266e+02	0.0000e+00
2.1278e+02	0.0000e+00
2.1290e+02	0.0000e+00
2.1302e+02	0.0000e+00
2.1313e+02	0.0000e+00
2.1325e+02	0.0000e+00
2.1337e+02	0.0000e+00
2.1348e+02	0.0000e+00
2.1360e+02	0.0000e+00
2.1372e+02	0.0000e+00
2.1383e+02	0.0000e+00
2.1395e+02	0.0000e+00
2.1407e+02	0.0000e+00
2.1418e+02	0.0000e+00
2.1430e+02	0.0000e+00
2.1442e+02	0.0000e+00
2.1453e+02	0.0000e+00
2.1465e+02	0.0000e+00
2.1477e+02	0.0000e+00
2.1488e+02	0.0000e+00
2.1500e+02	0.0000e+00
2.1512e+02	0.0000e+00
2.1524e+02	0.0000e+00
2.1535e+02	0.0000e+00
2.1547e+02	0.0000e+00
2.1559e+02	0.0000e+00
2.1570e+02	0.0000e+00
2.1582e+02	0.0000e+00
2.1594e+02	0.0000e+00
2.1605e+02	0.0000e+00
2.1617e+02	0.0000e+00
2.1629e+02	0.0000e+00
2.1640e+02	0.0000e+00
2.1652e+02	0.0000e+00
2.1664e+02	0.0000e+00
2.1675e+02	0.0000e+00
2.1687e+02	0.0000e+00
2.1699e+02	0.0000e+00
2.1710e+02	0.0000e+00
2.1722e+02	0.0000e+00
2.1734e+02	0.0000e+00
2.1745e+02	0.0000e+00
2.1757e+02	0.0000e+00
2.1769e+02	0.0000e+00
2.1780e+02	0.0000e+00
2.1792e+02	0.0000e+00
2.1803e+02	0.0000e+00
2.1815e+02	0.0000e+00
2.1827e+02	0.0000e+00
2.1838e+02	0.0000e+00
2.1850e+02	0.0000e+00
2.1862e+02	0.0000e+00
2.1873e+02	0.0000e+00
2.1885e+02	0.0000e+00
2.1897e+02	0.0000e+00
2.1908e+02	0.0000e+00
2.1920e+02	0.0000e+00
2.1932e+02	0.0000e+00
2.1943e+02	0.0000e+00
2.1955e+02	0.0000e+00
2.1967e+02	0.0000e+00
2.1978e+02	0.0000e+00
2.1990e+02	0.0000e+00
2.2002e+02	0.0000e+00
2.2013e+02	0.0000e+00
2.2025e+02	0.0000e+00
2.2036e+02	0.0000e+00
2.2048e+02	0.0000e+00
2.2060e+02	0.0000e+00
2.2071e+02	0.0000e+00
2.2083e+02	0.0000e+00
2.2095e+02	0.0000e+00
2.2106e+02	0.0000e+00
2.2118e+02	0.0000e+00
2.2130e+02	0.0000e+00
2.2141e+02	0.0000e+00
2.2153e+02	0.0000e+00
2.2164e+02	0.0000e+00
2.2176e+02	0.0000e+00
2.2188e+02	0.0000e+00
2.2199e+02	0.0000e+00
2.2211e+02	0.0000e+00
2.2223e+02	0.0000e+00
2.2234e+02	0.0000e+00
2.2246e+02	0.0000e+00
2.2257e+02	0.0000e+00
2.2269e+02	0.0000e+00
2.2281e+02	0.0000e+00
2.2292e+02	0.0000e+00
2.2304e+02	0.0000e+00
2.2316e+02	0.0000e+00
2.2327e+02	0.0000e+00
2.2339e+02	0.0000e+00
2.2350e+02	0.0000e+00
2.2362e+02	0.0000e+00
2.2374e+02	0.0000e+00
2.2385e+02	0.0000e+00
2.2397e+02	0.0000e+00
2.2408e+02	0.0000e+00
2.2420e+02	0.0000e+00
2.2432e+02	0.0000e+00
2.2443e+02	0.0000e+00
2.2455e+02	0.0000e+00
2.2466e+02	0.0000e+00
2.2478e+02	0.0000e+00
2.2490e+02	0.0000e+00
2.2501e+02	0.0000e+00
2.2513e+02	0.0000e+00
2.2525e+02	0.0000e+00
2.2536e+02	0.0000e+00
2.2548e+02	0.0000e+00
2.2559e+02	0.0000e+00
2.2571e+02	0.0000e+00
2.2583e+02	0.0000e+00
2.2594e+02	0.0000e+00
2.2606e+02	0.0000e+00
2.2617e+02	0.0000e+00
2.2629e+02	0.0000e+00
2.2641e+02	0.0000e+00
2.2652e+02	0.0000e+00
2.2664e+02	0.0000e+00
2.2675e+02	0.0000e+00
2.2687e+02	0.0000e+00
2.2698e+02	0.0000e+00
2.2710e+02	0.0000e+00
2.2722e+02	0.0000e+00
2.2733e+02	0.0000e+00
2.2745e+02	0.0000e+00
2.2756e+02	0.0000e+00
2.2768e+02	0.0000e+00
2.2780e+02	0.0000e+00
2.2791e+02	0.0000e+00
2.2803e+02	0.0000e+00
2.2814e+02	0.0000e+00
2.2826e+02	0.0000e+00
2.2838e+02	0.0000e+00
2.2849e+02	0.0000e+00
2.2861e+02	0.0000e+00
2.2872e+02	0.0000e+00
2.2884e+02	0.0000e+00
2.2895e+02	0.0000e+00
2.2907e+02	0.0000e+00
2.2919e+02	0.0000e+00
2.2930e+02	0.0000e+00
