Wavelength (nm)	Cross section (cm2)
2.1009e+02	1.7691e-17
2.1021e+02	1.7458e-17
2.1032e+02	1.7268e-17
2.1044e+02	1.7019e-17
2.1056e+02	1.6795e-17
2.1068e+02	1.6620e-17
2.1079e+02	1.6468e-17
2.1091e+02	1.6331e-17
2.1103e+02	1.6109e-17
2.1114e+02	1.5997e-17
2.1126e+02	1.5795e-17
2.1138e+02	1.5529e-17
2.1149e+02	1.5351e-17
2.1161e+02	1.5104e-17
2.1173e+02	1.5129e-17
2.1185e+02	1.4949e-17
2.1196e+02	1.4702e-17
2.1208e+02	1.4516e-17
2.1220e+02	1.4321e-17
2.1231e+02	1.4153e-17
2.1243e+02	1.4030e-17
2.1255e+02	1.3925e-17
2.1266e+02	1.3781e-17
2.1278e+02	1.3589e-17
2.1290e+02	1.3498e-17
2.1302e+02	1.3310e-17
2.1313e+02	1.3176e-17
2.1325e+02	1.2927e-17
2.1337e+02	1.2746e-17
2.1348e+02	1.2692e-17
2.1360e+02	1.2470e-17
2.1372e+02	1.2241e-17
2.1383e+02	1.2126e-17
2.1395e+02	1.1946e-17
2.1407e+02	1.1889e-17
2.1418e+02	1.1859e-17
2.1430e+02	1.1617e-17
2.1442e+02	1.1328e-17
2.1453e+02	1.1272e-17
2.1465e+02	1.1248e-17
2.1477e+02	1.0848e-17
2.1488e+02	1.0957e-17
2.1500e+02	1.0979e-17
2.1512e+02	1.0693e-17
2.1524e+02	1.0623e-17
2.1535e+02	1.0723e-17
2.1547e+02	1.0883e-17
2.1559e+02	1.0683e-17
2.1570e+02	1.0653e-17
2.1582e+02	1.0566e-17
2.1594e+02	1.0408e-17
2.1605e+02	1.0302e-17
2.1617e+02	1.0261e-17
2.1629e+02	1.0248e-17
2.1640e+02	1.0038e-17
2.1652e+02	9.8571e-18
2.1664e+02	9.5112e-18
2.1675e+02	9.4752e-18
2.1687e+02	9.7235e-18
2.1699e+02	9.3206e-18
2.1710e+02	9.1461e-18
2.1722e+02	9.0286e-18
2.1734e+02	8.8909e-18
2.1745e+02	8.7617e-18
2.1757e+02	8.7484e-18
2.1769e+02	8.7406e-18
