Wavelength (nm)	Cross section (cm2)
2.1009e+02	3.8068e-19
2.1021e+02	3.7356e-19
2.1032e+02	3.6876e-19
2.1044e+02	3.7064e-19
2.1056e+02	3.7640e-19
2.1068e+02	3.7856e-19
2.1079e+02	3.7832e-19
2.1091e+02	3.8320e-19
2.1103e+02	3.9688e-19
2.1114e+02	4.0576e-19
2.1126e+02	4.0472e-19
2.1138e+02	4.1348e-19
2.1149e+02	4.2404e-19
2.1161e+02	4.4084e-19
2.1173e+02	4.4216e-19
2.1185e+02	4.5320e-19
2.1196e+02	4.5804e-19
2.1208e+02	4.6348e-19
2.1220e+02	4.6900e-19
2.1231e+02	4.7436e-19
2.1243e+02	4.8284e-19
2.1255e+02	4.9380e-19
2.1266e+02	5.0268e-19
2.1278e+02	5.0532e-19
2.1290e+02	4.9820e-19
2.1302e+02	4.8892e-19
2.1313e+02	4.7736e-19
2.1325e+02	4.6200e-19
2.1337e+02	4.5720e-19
2.1348e+02	4.5196e-19
2.1360e+02	4.5500e-19
2.1372e+02	4.5144e-19
2.1383e+02	4.4232e-19
2.1395e+02	4.3080e-19
2.1407e+02	4.2712e-19
2.1418e+02	4.2316e-19
2.1430e+02	4.1820e-19
2.1442e+02	4.2072e-19
2.1453e+02	4.2392e-19
2.1465e+02	4.2920e-19
2.1477e+02	4.2600e-19
2.1488e+02	4.2504e-19
2.1500e+02	4.0200e-19
2.1512e+02	3.9720e-19
2.1524e+02	4.0988e-19
2.1535e+02	3.9980e-19
2.1547e+02	3.9852e-19
2.1559e+02	4.0908e-19
2.1570e+02	4.2020e-19
2.1582e+02	4.4068e-19
2.1594e+02	4.5872e-19
2.1605e+02	4.6880e-19
2.1617e+02	4.7708e-19
2.1629e+02	4.8092e-19
2.1640e+02	4.8480e-19
2.1652e+02	4.8448e-19
2.1664e+02	4.8832e-19
2.1675e+02	4.9800e-19
2.1687e+02	4.9704e-19
2.1699e+02	4.9976e-19
2.1710e+02	5.0000e-19
2.1722e+02	4.9620e-19
2.1734e+02	4.8708e-19
2.1745e+02	4.7620e-19
2.1757e+02	4.7100e-19
2.1769e+02	4.6268e-19
2.1780e+02	4.5140e-19
2.1792e+02	4.4276e-19
2.1803e+02	4.3220e-19
2.1815e+02	4.1760e-19
2.1827e+02	4.2000e-19
2.1838e+02	4.1984e-19
2.1850e+02	4.1600e-19
2.1862e+02	4.2656e-19
2.1873e+02	4.1944e-19
2.1885e+02	4.1640e-19
2.1897e+02	3.9776e-19
2.1908e+02	3.8752e-19
2.1920e+02	3.8680e-19
2.1932e+02	3.8296e-19
2.1943e+02	3.7548e-19
2.1955e+02	3.7340e-19
2.1967e+02	3.7880e-19
2.1978e+02	3.8416e-19
2.1990e+02	3.9200e-19
2.2002e+02	3.9808e-19
2.2013e+02	4.0876e-19
2.2025e+02	4.0300e-19
2.2036e+02	4.1620e-19
2.2048e+02	4.3144e-19
2.2060e+02	4.5160e-19
2.2071e+02	4.6280e-19
2.2083e+02	4.7624e-19
2.2095e+02	4.8560e-19
2.2106e+02	4.8752e-19
2.2118e+02	4.8612e-19
2.2130e+02	4.8300e-19
2.2141e+02	4.8252e-19
2.2153e+02	4.8780e-19
2.2164e+02	4.8268e-19
2.2176e+02	4.7348e-19
2.2188e+02	4.7848e-19
2.2199e+02	4.6704e-19
2.2211e+02	4.5632e-19
2.2223e+02	4.5248e-19
2.2234e+02	4.3400e-19
2.2246e+02	4.1612e-19
2.2257e+02	4.1436e-19
2.2269e+02	4.1024e-19
2.2281e+02	3.9824e-19
2.2292e+02	3.8588e-19
2.2304e+02	3.6924e-19
2.2316e+02	3.5672e-19
2.2327e+02	3.5504e-19
2.2339e+02	3.5000e-19
2.2350e+02	3.5000e-19
2.2362e+02	3.4232e-19
2.2374e+02	3.4752e-19
2.2385e+02	3.4720e-19
2.2397e+02	3.4928e-19
2.2408e+02	3.5512e-19
2.2420e+02	3.6100e-19
2.2432e+02	3.6244e-19
2.2443e+02	3.6596e-19
2.2455e+02	3.5900e-19
2.2466e+02	3.3624e-19
2.2478e+02	3.2472e-19
2.2490e+02	3.2640e-19
2.2501e+02	3.2336e-19
2.2513e+02	3.1640e-19
2.2525e+02	3.2600e-19
2.2536e+02	3.4008e-19
2.2548e+02	3.5712e-19
2.2559e+02	3.6936e-19
2.2571e+02	3.9544e-19
2.2583e+02	4.1496e-19
2.2594e+02	4.3352e-19
2.2606e+02	4.5608e-19
2.2617e+02	4.6952e-19
2.2629e+02	4.7112e-19
2.2641e+02	4.6276e-19
2.2652e+02	4.5396e-19
2.2664e+02	4.3560e-19
2.2675e+02	4.1800e-19
2.2687e+02	3.9592e-19
2.2698e+02	3.7232e-19
2.2710e+02	3.5440e-19
2.2722e+02	3.6544e-19
2.2733e+02	3.3480e-19
